lengt;dynamics;variability;mse;time;type;id;label
30.080770389553116;-0.3926180233788406;10.993304654607527;10.97934512719981;[0.00251889];first;QC_Shew_11_03_pt5_3_12Oct11__11-06-28;_good_
21.976523782805003;-0.5812575858408121;11.043894130975445;5.110019927640731;[0.94962217];last;QC_Shew_11_03_pt5_3_12Oct11__11-06-28;_good_
15.890135945155201;-7.881884615298444;15.763769230596893;11.759977636585106;[0.00251889];first;QC_Shew_11_05_0pt5-04_23Oct11_Jaguar_11-10-12;_good_
12.714330402009884;-0.35014082059414053;4.2016898471297;6.694815572374192;[0.96725441];last;QC_Shew_11_05_0pt5-04_23Oct11_Jaguar_11-10-12;_good_
100.62979243787395;0.11240779603283453;11.240779603283443;18.00154303056062;[0.00143062];first;QC_Shew_11_06_500ng_c_22Mar12_Lynx_12-02-29;_good_
44.14838550025553;-0.23265107710306498;10.003996315431777;3.8313630445146987;[0.93705293];last;QC_Shew_11_06_500ng_c_22Mar12_Lynx_12-02-29;_good_
64.86295517119258;0.16477001723352253;10.545281102945438;12.06401422515617;[0.00251889];first;QC_Shew_12_01_500ng_a_14Nov12_Lynx_12-11-07;_good_
20.933184509314135;-0.8436301157909697;13.49808185265556;7.385073935727919;[0.95717884];last;QC_Shew_12_01_500ng_a_14Nov12_Lynx_12-11-07;_good_
69.30123250969335;0.1965648040227155;13.366406673544645;30.557790179833603;[0.00251889];first;QC_Shew_12_01_500ng_b_14Nov12_Lynx_12-11-08;_good_
11.30995198085544;-0.23905830765037214;2.629641384154098;6.367952312473815;[0.9697733];last;QC_Shew_12_01_500ng_b_14Nov12_Lynx_12-11-08;_good_
65.7485647159402;0.15220179862413166;9.893116910568551;10.149024243345114;[0.00251889];first;QC_Shew_12_01_500ng_c_14Nov12_Lynx_12-11-07;_good_
4.504565859496438;-2.0181125824976354;4.036225164995244;0.9153770861447194;[0.99244332];last;QC_Shew_12_01_500ng_c_14Nov12_Lynx_12-11-07;_good_
66.85344064420241;0.16133519878020586;10.64812311949359;12.010451462846811;[0.00251889];first;QC_Shew_12_01_500ng_d_14Nov12_Lynx_12-11-08;_good_
1.450261242534969;-1.0503607340333472;1.0503607340333474;8.077935669463161e-28;[0.99496222];last;QC_Shew_12_01_500ng_d_14Nov12_Lynx_12-11-08;_good_
14.956912008450278;0.37599674898537716;5.263954485795267;11.411604590482577;[0.00139082];first;QC_Shew_12_02_2_5FL_500ng_Polaroid_31Oct12_12-02-32;_good_
12.422714384157288;-0.9514370720668112;8.562933648601302;1.1308275683565605;[0.98609179];last;QC_Shew_12_02_2_5FL_500ng_Polaroid_31Oct12_12-02-32;_good_
32.16876640790731;0.38705373185200276;11.611611955560079;12.304626800235145;[0.00253165];first;QC_Shew_12_02_2p5_4_19Jul12_Sam_12-05-13;_good_
42.169990632549506;-0.09006205327802382;3.782606237676987;1.514165537086588;[0.89113924];last;QC_Shew_12_02_2p5_4_19Jul12_Sam_12-05-13;_good_
33.00945030098722;0.8622053668803925;21.555134172009815;29.13971444917604;[0.00253165];first;QC_Shew_12_02_2p5_8_27Jul12_Sam_12-05-13;_good_
56.00668822728376;-0.2751412694808325;14.857628551964979;7.5374131791485794;[0.86075949];last;QC_Shew_12_02_2p5_8_27Jul12_Sam_12-05-13;_good_
120.60975061770891;0.10093725501034408;12.112470601241284;10.335464864832947;[0.00083403];first;QC_Shew_12_02_2p5_b2Aug12_Polaroid_11-07-67_120805054700;_good_
27.011142757021485;-0.028732555158179275;0.7757789892708473;5.549515036952195;[0.97664721];last;QC_Shew_12_02_2p5_b2Aug12_Polaroid_11-07-67_120805054700;_good_
48.266236322967124;0.2336840278905089;10.983149310853918;10.540842233151112;[0.00251889];first;QC_Shew_12_02_5pt_2_24Aug12_Polaroid_12-08-08;_good_
21.020495499400315;-0.04419168307847382;0.9280253446479492;0.7996741845111933;[0.94458438];last;QC_Shew_12_02_5pt_2_24Aug12_Polaroid_12-08-08;_good_
86.41094210091613;0.09787556445755706;8.417298543349915;13.03360619308157;[0.00251889];first;QC_Shew_12_02_A_24Nov12_Lynx_12-11-07;_good_
50.72191033905815;-0.17054288427659978;8.527144213829985;2.8576096585986273;[0.87153652];last;QC_Shew_12_02_A_24Nov12_Lynx_12-11-07;_good_
85.69774157739724;0.1283932709952755;10.913428034598411;28.1522813996924;[0.00251889];first;QC_Shew_12_02_B_24Nov12_Lynx_12-11-08;_good_
46.433786130906014;-0.13765607133294316;6.3321792813153905;0.8066460543906219;[0.88161209];last;QC_Shew_12_02_B_24Nov12_Lynx_12-11-08;_good_
88.55812139969443;0.11280426362015498;9.926775198573651;22.271834691957007;[0.00251889];first;QC_Shew_12_02_C_24Nov12_Lynx_12-11-07;_good_
54.60880057573815;-0.15058311478520905;8.131488198401286;2.4258814460115117;[0.86146096];last;QC_Shew_12_02_C_24Nov12_Lynx_12-11-07;_good_
58.65126102453624;0.15027760654013883;8.716101179328064;10.612546576901135;[0.00140252];first;QC_Shew_12_02_check_09Nov12_samwise_12-09-18;_good_
34.247624339677785;-1.017980514534378;24.431532348825158;5.1929872741143575;[0.96493689];last;QC_Shew_12_02_check_09Nov12_samwise_12-09-18;_good_
87.56712153215705;0.11436681881824913;9.949913237187673;23.633779013815364;[0.00251889];first;QC_Shew_12_02_D_24Nov12_Lynx_12-11-08;_good_
60.91119483807439;-0.25658445150318726;15.138482638688046;9.048900440448527;[0.8488665];last;QC_Shew_12_02_D_24Nov12_Lynx_12-11-08;_good_
74.79000355959985;0.14651081405461105;10.841800240041223;33.63020767593088;[0.00251889];first;QC_Shew_12_02_E_6Jan13_Lynx_12-11-07;_good_
62.87222623391852;-0.24965271853803175;15.22881583081994;7.116420195553364;[0.84382872];last;QC_Shew_12_02_E_6Jan13_Lynx_12-11-07;_good_
22.066207615648757;0.7091063723702945;12.76391470266529;10.35625128307334;[0.00251889];first;QC_Shew_12_02_post-A_11Dec12_Lynx_12-11-07;_good_
151.18011947174455;-0.04885807246222485;7.377568941795957;3.520472376697821;[0.61712846];last;QC_Shew_12_02_post-A_11Dec12_Lynx_12-11-07;_good_
71.45230771378856;0.11305594202764373;8.026971883962702;11.793630375311503;[0.00251889];first;QC_Shew_12_02_post-A_29Nov12_Lynx_12-11-08;_good_
66.31918735705341;-0.09846691176983191;6.4988161768089014;1.4100928441507892;[0.83123426];last;QC_Shew_12_02_post-A_29Nov12_Lynx_12-11-08;_good_
61.06003736863182;0.1888033688043331;11.328202128259989;21.141976245935464;[0.00251889];first;QC_Shew_12_02_post-A_6Dec12_Lynx_12-11-07;_good_
78.31317830092561;-0.08970135965428433;6.996706053034174;2.298007964693434;[0.80100756];last;QC_Shew_12_02_post-A_6Dec12_Lynx_12-11-07;_good_
35.459570035840215;0.2961417222542916;10.068818556645908;12.792784004773392;[0.00251889];first;QC_Shew_12_02_post-B_11Dec12_Lynx_12-11-08;_good_
126.24754416393179;-0.06271468917921329;7.9020508365808695;7.203708954216421;[0.68010076];last;QC_Shew_12_02_post-B_11Dec12_Lynx_12-11-08;_good_
77.3718045714217;0.0983899246404288;7.576024197313018;11.711905801678453;[0.00251889];first;QC_Shew_12_02_post-B_12Dec12_Lynx_12-11-08;_good_
58.55876849828595;-0.23546014493111977;13.421228261073836;5.096406216044464;[0.85390428];last;QC_Shew_12_02_post-B_12Dec12_Lynx_12-11-08;_good_
70.51715591517912;0.1217803965036577;8.524627755256049;11.68185310534362;[0.00251889];first;QC_Shew_12_02_post-B_29Nov12_Lynx_12-11-07;_good_
74.50187771578528;-0.1166630185349485;8.63306337158619;3.401203386494514;[0.81108312];last;QC_Shew_12_02_post-B_29Nov12_Lynx_12-11-07;_good_
67.22466235519134;0.19353368357478637;12.773223115935906;41.05519402235771;[0.00251889];first;QC_Shew_12_02_post-B_6Dec12_Lynx_12-11-08;_good_
72.30072234805873;-0.09149231319652183;6.587446550149579;2.2612130136090762;[0.81612091];last;QC_Shew_12_02_post-B_6Dec12_Lynx_12-11-08;_good_
30.491208389687365;0.43111416681163506;12.071196670725783;13.528205486015656;[0.00251889];first;QC_Shew_12_02_post-C_11Dec12_Lynx_12-11-07;_good_
8.166017166087416;-0.20478023116389252;1.6382418493111288;0.07792092701816872;[0.97732997];last;QC_Shew_12_02_post-C_11Dec12_Lynx_12-11-07;_good_
78.29380923334737;0.08687783811415825;6.776471372904339;11.892732181306219;[0.00251889];first;QC_Shew_12_02_post-C_14Dec12_Lynx_12-11-07;_good_
64.2195267989315;-0.26996146788231845;16.737611008703738;6.6652808098229075;[0.84130982];last;QC_Shew_12_02_post-C_14Dec12_Lynx_12-11-07;_good_
70.52292388883787;0.1224601508120166;8.572210556841156;13.695799358558139;[0.00251889];first;QC_Shew_12_02_post-C_29Nov12_Lynx_12-11-08;_good_
73.7153573898059;-0.14033838091276818;10.244701806632094;3.9749262551022566;[0.81360202];last;QC_Shew_12_02_post-C_29Nov12_Lynx_12-11-08;_good_
61.69601112067396;0.1514933175511419;9.241092370619654;14.977162191803666;[0.00251889];first;QC_Shew_12_02_post-C_6Dec12_Lynx_12-11-07;_good_
84.66266094914963;-0.12585656574211876;10.571951522337969;5.107902090393897;[0.78589421];last;QC_Shew_12_02_post-C_6Dec12_Lynx_12-11-07;_good_
32.101656244454134;0.47470666032992875;13.766493149567935;21.665316211509474;[0.00251889];first;QC_Shew_12_02_post-D_11Dec12_Lynx_12-11-08;_good_
9.237793103677939;-0.2313892937534065;2.0825036437806546;0.045910205550266446;[0.97481108];last;QC_Shew_12_02_post-D_11Dec12_Lynx_12-11-08;_good_
70.56561274272623;0.12737995689932854;8.916596982952996;16.027709678474;[0.00251889];first;QC_Shew_12_02_post-D_29Nov12_Lynx_12-11-07;_good_
68.31074738552964;-0.09571056467635594;6.508318397992213;1.9734736591359436;[0.82619647];last;QC_Shew_12_02_post-D_29Nov12_Lynx_12-11-07;_good_
65.65061799514703;0.141842185114446;9.219742032439001;13.080869711681881;[0.00251889];first;QC_Shew_12_02_post-D_6Dec12_Lynx_12-11-08;_good_
72.26454378161539;-0.08580173812257383;6.177725144825317;1.6459517878348608;[0.81612091];last;QC_Shew_12_02_post-D_6Dec12_Lynx_12-11-08;_good_
25.39561570610536;0.4681486222337996;10.767418311377398;10.168402027665035;[0.00251889];first;QC_Shew_12_02_post-E_11Dec12_Lynx_12-11-07;_good_
10.417455751905267;-0.2919483574693328;2.9194835746933308;0.17957997448505178;[0.97229219];last;QC_Shew_12_02_post-E_11Dec12_Lynx_12-11-07;_good_
32.39626583073386;0.4075918979888995;12.227756939666989;11.003580799104318;[0.00251889];first;QC_Shew_12_02_post-F_11Dec12_Lynx_12-11-08;_good_
104.00092564093568;-0.004219107303870393;0.43878715960252634;7.004166659762736;[0.73551637];last;QC_Shew_12_02_post-F_11Dec12_Lynx_12-11-08;_good_
37.3020310241717;0.45129716781182194;15.344103705601952;25.473876697853047;[0.00253165];first;QC_Shew_12_02_pt5_1_17Nov12_Lynx_12-11-07;_good_
33.699270991347625;-0.2069518723152952;6.829411786404705;3.0526462791209448;[0.91392405];last;QC_Shew_12_02_pt5_1_17Nov12_Lynx_12-11-07;_good_
100.1910179149223;0.06183855660369138;6.183855660369147;18.53521573878146;[0.00253165];first;QC_Shew_12_02_pt5_1_18Nov12_Lynx_12-11-07;_good_
39.63740985889713;-0.2967089337361804;11.274939481974855;3.178285431370472;[0.90126582];last;QC_Shew_12_02_pt5_1_18Nov12_Lynx_12-11-07;_good_
78.39821788271419;0.1011769717687439;7.891803797962027;13.163549172296607;[0.00253165];first;QC_Shew_12_02_pt5_1_19Nov12_Lynx_12-11-07;_good_
53.60251715518844;-0.1512141973810475;8.014352461195529;1.961411549966944;[0.86329114];last;QC_Shew_12_02_pt5_1_19Nov12_Lynx_12-11-07;_good_
10.665352165575706;0.8816686666464345;7.053349333171468;12.680880130348148;[0.00253165];first;QC_Shew_12_02_pt5_1_3_26Dec12_Leopard_12-11-09;_good_
10.817790704954493;-1.1782432074240041;8.247702451968053;1.7194852972229242;[0.97974684];last;QC_Shew_12_02_pt5_1_3_26Dec12_Leopard_12-11-09;_good_
49.68758369096807;0.16811170827322114;8.237473705387828;10.842457810999365;[0.00253165];first;QC_Shew_12_02_pt5_2_17Nov12_Lynx_12-11-08;_good_
38.12533482731815;-0.34865388814032866;12.551539973051831;5.4925438707720415;[0.90632911];last;QC_Shew_12_02_pt5_2_17Nov12_Lynx_12-11-08;_good_
98.21014781720275;0.06552350163598016;6.421303160326062;10.692425055399264;[0.00253165];first;QC_Shew_12_02_pt5_2_18Nov12_Lynx_12-11-08;_good_
45.92086037115092;-0.37479066969899777;16.115998797056903;6.0218766388563845;[0.88860759];last;QC_Shew_12_02_pt5_2_18Nov12_Lynx_12-11-08;_good_
80.72896766230792;0.13530418266698563;10.824334613358843;42.08408855531838;[0.00253165];first;QC_Shew_12_02_pt5_2_19Nov12_Lynx_12-11-08;_good_
65.28762928011335;-0.20160158112981494;12.90250119230815;3.6612932534107614;[0.83544304];last;QC_Shew_12_02_pt5_2_19Nov12_Lynx_12-11-08;_good_
92.42605443425059;0.09635091761139307;8.864284420248168;23.978627295572814;[0.00253165];first;QC_Shew_12_02_pt5_3_17Nov12_Lynx_12-11-07;_good_
18.177713993370624;-0.1408668711412676;2.535603680542806;0.6111045169380888;[0.95189873];last;QC_Shew_12_02_pt5_3_17Nov12_Lynx_12-11-07;_good_
99.44592082439024;0.09501994410472345;9.406974466367629;40.78301411805556;[0.00253165];first;QC_Shew_12_02_pt5_3_18Nov12_Lynx_12-11-07;_good_
37.27086852884522;-0.26804856193304083;9.649748229589477;4.358124599246678;[0.90632911];last;QC_Shew_12_02_pt5_3_18Nov12_Lynx_12-11-07;_good_
45.210417968187194;0.32473469044275477;13.963591689038452;13.825100334801727;[0.00251889];first;QC_Shew_12_02_pt5_3_6Sep12_Earth_12-04-18;_good_
74.61805356350175;-0.21171095163400122;15.454899469282097;8.382959536947084;[0.81360202];last;QC_Shew_12_02_pt5_3_6Sep12_Earth_12-04-18;_good_
75.07850901251788;0.04576755870502939;3.4325669028772126;13.518868936398182;[0.00253165];first;QC_Shew_12_02_pt5_4_17Nov12_Lynx_12-11-08;_good_
36.29755594729214;-0.2748098678482593;9.618345374689085;1.4504225950088068;[0.90886076];last;QC_Shew_12_02_pt5_4_17Nov12_Lynx_12-11-08;_good_
98.43267452358891;0.09407223262327585;9.219078797081039;38.34061416613663;[0.00253165];first;QC_Shew_12_02_pt5_4_18Nov12_Lynx_12-11-08;_good_
39.68650372243308;-0.30121933380390453;11.446334684548361;4.482590582599295;[0.90126582];last;QC_Shew_12_02_pt5_4_18Nov12_Lynx_12-11-08;_good_
80.50366440201128;0.11238882155800398;8.99110572464032;20.937749446491683;[0.00251889];first;QC_Shew_12_02_pt5_4_28Dec12_Lynx_12-11-07;_good_
41.07471111660356;-0.23336116497882095;9.334446599152841;1.2340128572487412;[0.89672544];last;QC_Shew_12_02_pt5_4_28Dec12_Lynx_12-11-07;_good_
38.264436188482165;0.36022013676484316;12.967924923534355;15.67451709869481;[0.00251889];first;QC_Shew_12_02_pt5_4_6Sep12_Earth_12-04-15;_good_
129.17231744577276;-0.051704667609167435;6.669902121582609;2.123390451297208;[0.67254408];last;QC_Shew_12_02_pt5_4_6Sep12_Earth_12-04-15;_good_
93.36077166441282;0.08816790298084541;8.19961497721863;20.011929927338947;[0.00253165];first;QC_Shew_12_02_pt5_5_17Nov12_Lynx_12-11-07;_good_
35.8729142891651;-0.22472837045639837;7.865492965973942;1.8104819547746542;[0.90886076];last;QC_Shew_12_02_pt5_5_17Nov12_Lynx_12-11-07;_good_
98.30818969472442;0.07936923414268608;7.778184945983227;20.815391196482604;[0.00253165];first;QC_Shew_12_02_pt5_5_18Nov12_Lynx_12-11-07;_good_
36.69431496975496;-0.19734493658716484;7.104417717137935;1.453300403056014;[0.90632911];last;QC_Shew_12_02_pt5_5_18Nov12_Lynx_12-11-07;_good_
91.4466236555867;0.09919673640683718;9.026903013022178;11.195292616469201;[0.00253165];first;QC_Shew_12_02_pt5_6_17Nov12_Lynx_12-11-08;_good_
36.472971105409194;-0.29315681010515837;10.260488353680543;1.9492809012157974;[0.90886076];last;QC_Shew_12_02_pt5_6_17Nov12_Lynx_12-11-08;_good_
98.3804324951192;0.0881986287770341;8.643465620149342;27.330778559565292;[0.00253165];first;QC_Shew_12_02_pt5_6_18Nov12_Lynx_12-11-08;_good_
37.88760826685085;-0.22035044168986367;8.152966342524948;1.7363901213776824;[0.90379747];last;QC_Shew_12_02_pt5_6_18Nov12_Lynx_12-11-08;_good_
92.39822393672554;0.09314385753887024;8.569234893576052;26.48930324171381;[0.00253165];first;QC_Shew_12_02_pt5_7_17Nov12_Lynx_12-11-07;_good_
38.049070147232605;-0.2398132629215204;8.873090728096244;2.7558141097737248;[0.90379747];last;QC_Shew_12_02_pt5_7_17Nov12_Lynx_12-11-07;_good_
99.36572675940187;0.08603526350919335;8.51749108741015;27.877155427432054;[0.00253165];first;QC_Shew_12_02_pt5_7_18Nov12_Lynx_12-11-07;_good_
35.660483411561316;-0.1951871465035437;6.831550127624027;2.1036257067372;[0.90886076];last;QC_Shew_12_02_pt5_7_18Nov12_Lynx_12-11-07;_good_
81.4638768180688;0.10717530351488001;8.681199584705283;13.188863292800157;[0.00251889];first;QC_Shew_12_02_pt5_7_28Dec12_Lynx_12-11-08;_good_
38.99021732659429;-0.2297732339522946;8.731382890187191;0.8191665863455403;[0.90176322];last;QC_Shew_12_02_pt5_7_28Dec12_Lynx_12-11-08;_good_
92.65726895182091;0.11974763239550265;11.016782180386244;30.111616675345914;[0.00253165];first;QC_Shew_12_02_pt5_8_17Nov12_Lynx_12-11-08;_good_
44.85666748086935;-0.2970201908534585;12.771868206698713;2.962095994071274;[0.88860759];last;QC_Shew_12_02_pt5_8_17Nov12_Lynx_12-11-08;_good_
98.40504626463573;0.09101281790049282;8.919256154248302;37.279959061018154;[0.00253165];first;QC_Shew_12_02_pt5_8_18Nov12_Lynx_12-11-08;_good_
45.09580796725515;-0.31599841876119283;13.587932006731293;4.177999355453188;[0.88860759];last;QC_Shew_12_02_pt5_8_18Nov12_Lynx_12-11-08;_good_
40.739810097998394;0.3865216420757281;14.687822398877657;39.9072256118397;[0.00251889];first;QC_Shew_12_02_pt5_A_10Dec12_Lynx_12-11-07;_good_
134.09832998970276;-0.03831644891815464;5.134404155032726;5.250858905730254;[0.65994962];last;QC_Shew_12_02_pt5_A_10Dec12_Lynx_12-11-07;_good_
78.46952063911007;0.10988732898273618;8.571211660653418;16.138220500478422;[0.00251889];first;QC_Shew_12_02_pt5_a_20Dec12_Lynx_12-11-07;_good_
43.31261125869043;-0.25195639722662827;10.582168683518375;0.6458258134864935;[0.89168766];last;QC_Shew_12_02_pt5_a_20Dec12_Lynx_12-11-07;_good_
78.39973412071218;0.10136989877233879;7.906852104242432;12.891583184328022;[0.00251889];first;QC_Shew_12_02_pt5_A_2Jan13_Lynx_12-11-07;_good_
59.932369021569606;-0.260275656795049;15.09598809411284;5.054785225993523;[0.85138539];last;QC_Shew_12_02_pt5_A_2Jan13_Lynx_12-11-07;_good_
31.33323258706448;0.40912810682521805;11.864715097931324;14.989775932019736;[0.00251889];first;QC_Shew_12_02_pt5_B_10Dec12_Lynx_12-11-08;_good_
121.07177337177885;-0.03444834643814835;4.168249919015949;5.988417628324571;[0.69269521];last;QC_Shew_12_02_pt5_B_10Dec12_Lynx_12-11-08;_good_
74.38010048886247;0.10148581056858971;7.509949982075639;10.601961332951646;[0.00251889];first;QC_Shew_12_02_pt5_D_12Jan13_Lynx_12-11-08;_good_
44.10193510030626;-0.3203072854902138;13.452905990588988;1.3289284478976475;[0.89168766];last;QC_Shew_12_02_pt5_D_12Jan13_Lynx_12-11-08;_good_
69.64587843074814;0.13714493779016365;9.463000707521289;14.78198851946893;[0.00251889];first;QC_Shew_12_02_pt5-A_1Dec12_Lynx_12-11-07;_good_
57.082422767708415;-0.053797006348760786;3.066429361879358;0.9625846275824204;[0.85390428];last;QC_Shew_12_02_pt5-A_1Dec12_Lynx_12-11-07;_good_
69.55933344795606;0.1275863453288603;8.80345782769136;13.091793487628316;[0.00251889];first;QC_Shew_12_02_pt5-A_30Nov12_Lynx_12-11-07;_good_
78.91783140937889;-0.15385903490901828;12.001004722903431;6.364703157258155;[0.80100756];last;QC_Shew_12_02_pt5-A_30Nov12_Lynx_12-11-07;_good_
66.59795113832834;0.13491409352466346;8.904330172627795;13.850748688011846;[0.00251889];first;QC_Shew_12_02_pt5-B_1Dec12_Lynx_12-11-08;_good_
70.42524661578096;-0.11039387820720054;7.727571474504032;3.218359448442505;[0.82115869];last;QC_Shew_12_02_pt5-B_1Dec12_Lynx_12-11-08;_good_
70.46423139678741;0.11535916083153265;8.075141258207282;10.582730658187701;[0.00251889];first;QC_Shew_12_02_pt5-B_30Nov12_Lynx_12-11-08;_good_
15.555921758060192;-0.65717119140297;8.543225488238647;0.482755332673232;[0.96473552];last;QC_Shew_12_02_pt5-B_30Nov12_Lynx_12-11-08;_good_
65.68054392323766;0.1450842236945623;9.430474540146548;14.064161615664926;[0.00251889];first;QC_Shew_12_02_pt5-C_1Dec12_Lynx_12-11-07;_good_
76.66990783900205;-0.13306708993069155;10.11309883473254;4.635388727612638;[0.80604534];last;QC_Shew_12_02_pt5-C_1Dec12_Lynx_12-11-07;_good_
69.57288510282905;0.12912900463712348;8.90990131996152;14.206674096718048;[0.00251889];first;QC_Shew_12_02_pt5-C_30Nov12_Lynx_12-11-07;_good_
68.58793123181738;-0.13178334185809176;8.961267246350246;5.2238972917957005;[0.82619647];last;QC_Shew_12_02_pt5-C_30Nov12_Lynx_12-11-07;_good_
70.81172347995849;0.15273037614157708;10.69112632991039;23.058832269462354;[0.00251889];first;QC_Shew_12_02_pt5-D_1Dec12_Lynx_12-11-08;_good_
69.3540691315823;-0.1014357186680135;6.999064588092935;2.026884492364807;[0.82367758];last;QC_Shew_12_02_pt5-D_1Dec12_Lynx_12-11-08;_good_
71.47118602331037;0.11539882077160168;8.193316274783712;10.390252556883947;[0.00251889];first;QC_Shew_12_02_pt5-D_30Nov12_Lynx_12-11-08;_good_
63.54982264015527;-0.1324041295184091;8.341460159659789;5.0579763414903365;[0.83879093];last;QC_Shew_12_02_pt5-D_30Nov12_Lynx_12-11-08;_good_
55.396159013998734;11.03401002991067;55.17005014955336;45.358943608602466;[0.00425532];first;QC_Shew_12_02_Run-03_26Jul12_Roc_12-04-08;_good_
43.762215766074576;-1.9462345238668357;38.924690477336696;5.3460894527208325;[0.9106383];last;QC_Shew_12_02_Run-03_26Jul12_Roc_12-04-08;_good_
36.184290710926305;3.1337972296352636;34.471769525987895;20.048815282068777;[0.00425532];first;QC_Shew_12_02_Run-04_26Jul12_Roc_12-04-09;_good_
43.13191619165628;-2.503405644663806;40.05449031462092;7.283423199430431;[0.92765957];last;QC_Shew_12_02_Run-04_26Jul12_Roc_12-04-09;_good_
55.05227866073943;9.120723329228072;54.72433997536842;25.64017071017839;[0.00425532];first;QC_Shew_12_02_Run-05_26Jul12_Roc_12-03-29;_good_
43.3197143690188;-2.1890564325425896;39.40301578576663;3.3824649811972756;[0.91914894];last;QC_Shew_12_02_Run-05_26Jul12_Roc_12-03-29;_good_
48.39633224948049;5.283569892124479;47.552129029120294;25.65280295362943;[0.00425532];first;QC_Shew_12_02_Run-06_26Jul12_Roc_12-03-30;_good_
49.2248044394232;-2.545318488948583;45.815732801074546;5.732256752623634;[0.91914894];last;QC_Shew_12_02_Run-06_26Jul12_Roc_12-03-30;_good_
44.630882805100654;11.112818330543535;44.45127332217413;14.84380120119305;[0.00425532];first;QC_Shew_12_02_Run-07_26Jul12_Roc_12-04-08;_good_
24.92354973021189;-2.0331617098661083;22.36477880852715;3.308108346264818;[0.94893617];last;QC_Shew_12_02_Run-07_26Jul12_Roc_12-04-08;_good_
35.43849013194852;3.0625525231889514;33.68807775507847;14.680197336226248;[0.00425532];first;QC_Shew_12_02_Run-08_26Jul12_Roc_12-04-09;_good_
22.578091622726987;-2.300751947195024;20.70676752475515;0.945848606704485;[0.95744681];last;QC_Shew_12_02_Run-08_26Jul12_Roc_12-04-09;_good_
35.631764983443794;7.0558420499196846;35.279210249598435;10.610565298675288;[0.00425532];first;QC_Shew_12_02_Run-09_26Jul12_Roc_12-03-29;_good_
47.25396745589133;-2.277152228631482;43.26589234399813;6.154479603763127;[0.91489362];last;QC_Shew_12_02_Run-09_26Jul12_Roc_12-03-29;_good_
47.320564012290106;5.161868475038435;46.456816275345915;40.716233475317836;[0.00425532];first;QC_Shew_12_02_Run-10_26Jul12_Roc_12-03-30;_good_
